id,English,,Portuguese,,Danish,,German,,Spanish,,French,,Italian,,Dutch,
,Technical term,Popular term,Technical term,Popular term,Technical term,Popular term,Technical term,Popular term,Technical term,Popular term,Technical term,Popular term,Technical term,Popular term,Technical term,Popular term
1,abdomen,gut,abdómen,barriga;ventre,abdomen,mave,Abdomen,Bauch,abdomen,vientre,abdomen,ventre,addome,addome,abdomen,buik
2,abdominal,gut-related,abdominal,ventral,abdominal,underlivs-,abdominal,den Bauch betreffend,abdominal,del vientre,abdominal,abdominal,addominale,addominale,abdominaal,met betrekking tot de buik
3,aberrant,irregular,aberrante,anormal,aberrant,abnorm,aberrant,mit ungewöhnlichem Verlauf,aberrante,anormal,aberrant,qui s'écarte de la normale,aberrante,con caratteristiche diverse,aberrant,afwijkend
4,abnormal,abnormal,anormal,anormal,abnorm,unormal,abnorm,abnorm,anormal,anormal,anormal,anormal,anormale,anormale,abnormaal,afwijkend van de norm
5,abortion,abortion,aborto,abortamento;desmancho,abortus,abort,Abort,Schwangerschaftsabbruch,aborto,aborto;interrupción del embarazo,avortement,1) I.V.G. - 2) fausse couche,aborto,aborto,abortus,miskraam
6,abrasion,graze,esfoladela,desgaste;raspagem;erosão de origem químico-física,abrasio,afskrabning,Abrasion,Ausschabung,abrasión,erosión de origen químico-físico;raspado;- dentaria: desgaste,abrasion,1) enlèvement par grattage - 2) usure par frottement,abrazione,escoriazione,abrasie,afkrabbing
7,abrupt,sudden,abrupto,repentino;brusco,abrupt,brat,abrupt,plötzlich,abrupto,repentino;brusco,aigu,aigu,brusco,brusco,abrupt,plotseling
8,abscess,abscess,abcesso,abcesso;tumor,absces,byld,Abszeß,Abszeß,absceso,absceso,abcès,abcès,ascesso,raccolta di pus dovuta ad infezione,abces; abscessus,etterbuil
9,absence,mild epilepsy,ausência,perda momentânea do conhecimento,absence,lettere epileptisk anfald uden kramper,Absenz,kleiner Anfall,ausencia,pérdida momentánea del conocimiento,absence,absence épileptique,assenza,assenza,absence,kortstondig bewustzijnsverlies
10,absorption,absorption,absorção,absorvimento;absorvência,absorption,optagelse,Absorption,Aufsaugen,absorción,penetración a través de la piel o de las mucosas,absorption,ingestion,assorbimento,assorbimento,absorptie,opname
11,abstinence,going without,abstinência,jejum,abstinens,afholdenhed,Abstinenz,Enthaltsamkeit,abstinencia,privación voluntaria,abstinence,1) abstinence - 2) continence,astinenza,astinenza,abstinentie,onthouding
